factsheet,topic,attribute,subattribute,#,value,
CMIP5,project,,,,,
,guiding questions,preamble,,,,
,,question,,1,"How does system earth develop under certain greenhouse gas concentrations? How will the system develop for the following quantitites of special interest: metereological quantities (temperature, precipitation, airpressure, wind, radiation), oceanic quantities, and landsurface quantities (evatranspiration, vegetation).",
,results,preamble,,,,
,,insight,,1,"See publications, too numerous. Main results are the actual data sets in this simulation round. ",
,scenarios,preamble,,,,
,,scenario,name,1,ESM_projection_RCP2.6,
,,scenario,description,1,Earth system model projections based on RCP2.6,
,,scenario,name,2,ESM_projection_RCP4.5,
,,scenario,description,2,Earth system model projections based on RCP4.5,
,,scenario,name,3,ESM_projection_RCP6.0,
,,scenario,description,3,Earth system model projections based on RCP6.0,
,,scenario,name,4,ESM_projection_RCP8.5,
,,scenario,description,4,Earth system model projections based on RCP8.5,
,data sources,source,name,1,CMIP5 Database,
,,source,link,1,https://esgf-data.dkrz.de/search/cmip5-dkrz/,
,publications,reference,preamble ,1,A selection of 1161 publications based on CMIP5 which can be found here,
,,reference,link ,1,https://cmip-publications.llnl.gov/,
,diagnostics,source,name,1,N/A,
,,source,link,1,N/A,
,models,preamble,,,,
,,model,name,1,BCC-CSM1.1,
,,model,name,2,BCC-CSM1.1(m),
,,model,name,3,CanAM4,
,,model,name,4,CanCM4,
,,model,name,5,CanESM2,
,,model,name,6,CMCC-CESM,
,,model,name,7,CMCC-CM,
,,model,name,8,CMCC-CMS,
,,model,name,9,CNRM-CM5,
,,model,name,10,CNRM-CM5-2,
,,model,name,11,CFSv2-2011,
,,model,name,12,ACCESS1.0,
,,model,name,13,ACCESS1.3,
,,model,name,14,CSIRO-Mk3.6.0,
,,model,name,15,EC-EARTH,
,,model,name,16,FIO-ESM,
,,model,name,17,BNU-ESM,
,,model,name,18,INM-CM4,
,,model,name,19,IPSL-CM5A-LR,
,,model,name,20,IPSL-CM5A-MR,
,,model,name,21,IPSL-CM5B-LR,
,,model,name,22,FGOALS-g2,
,,model,name,23,FGOALS-gl,
,,model,name,24,FGOALS-s2,
,,model,name,25,MIROC4h,
,,model,name,26,MIROC5,
,,model,name,27,MIROC-ESM,
,,model,name,28,MIROC-ESM-CHEM,
,,model,name,29,HadCM3,
,,model,name,30,HadCM3Q,
,,model,name,31,HadGEM2-A,
,,model,name,32,HadGEM2-CC,
,,model,name,33,HadGEM2-ES,
,,model,name,34,MPI-ESM-LR,
,,model,name,35,MPI-ESM-MR,
,,model,name,36,MPI-ESM-P,
,,model,name,37,MRI-AGCM3.2H,
,,model,name,38,MRI-AGCM3.2S,
,,model,name,39,MRI-CGCM3,
,,model,name,40,MRI-ESM1,
,,model,name,41,GISS-E2-H,
,,model,name,42,GISS-E2-H-CC,
,,model,name,43,GISS-E2-R,
,,model,name,44,GISS-E2-R-CC,
,,model,name,45,GEOS-5,
,,model,name,46,CCSM4,
,,model,name,47,NorESM1-M,
,,model,name,48,NorESM1-ME,
,,model,name,49,NICAM.09,
,,model,name,50,HadGEM2-AO,
,,model,name,51,GFDL-CM2.1,
,,model,name,52,GFDL-CM3,
,,model,name,53,GFDL-ESM2G,
,,model,name,54,GFDL-ESM2M,
,,model,name,55,GFDL-HIRAM-C180,
,,model,name,56,GFDL-HIRAM-C360,
,,model,name,57,CESM1(BGC),
,,model,name,58,CESM1(CAM5),
,,model,name,59,"CESM1(CAM5.1, FV2)",
,,model,name,60,CESM1(FASTCHEM),
,,model,name,61,CESM1(WACCM),
,year,,,,2013,
,keywords,keyword,,1,"Metereological quantities (temperature, precipitation, airpressure, wind, radiation)",
,,keyword,,2,Oceanic quantities,
,,keyword,,3,"Landsurface quantities ( evatranspiration, vegetation)",
1861,regional coverage,region,,1,global ,
,time horizon,start,,,1861,"careful - various time horizons, this is the most frequent"
,,end,,,2100,