factsheet,topic,attribute,subattribute,#,value,,,,,,,,,,,,,,,,,
LED,project,,,,,CLIMACAP-LAMP,project,,CLIMACAP-LAMP,project,,CLIMACAP-LAMP,project,,CLIMACAP-LAMP,project,,CLIMACAP-LAMP,project,,CLIMACAP-LAMP,project
LED,guiding questions,preamble,,,"Scenarios that limit global warming to 1.5 °C describe major transformations in energy supply and ever-rising energy demand. Here, we provide a contrasting perspective by developing a narrative of future change based on observable trends that results in low energy demand.",,,,,,,,,,,,,,,,,
LED,guiding questions,question,,1,How does a narrative of future change based on observable trends which results in low energy demand look like?,,,,,,,,,,,,,,,,,
LED,guiding questions,question,,2,Which quantitative changes in activity levels and energy intensity are required in the Global North and South for all major energy services consistent with the low energy demand narative?,,,,,,,,,,,,,,,,,
LED,guiding questions,question,,3,Is it possible to limit global warming to 1.5 °C without relying on controversial negative emissions technologies such as bioenergy with carbon capture and storage (BECCS)?,,,,,,,,,,,,,,,,,
LED,guiding questions,question,,4,What are sustainable development co-benefits of a low energy demand transformation?,,,,,,,,,,,,,,,,,
LED,results,preamble,,,,,,,,,,,,,,,,,,,,
LED,results,insight,,1,"We find that global final energy demand by 2050 can be reduced to 245 EJ, around 40% lower than today's levels despite rising population, income and activity and show how changes in the quantity and type of energy services drive structural change in intermediate and upstream supply sectors (energy and land use). ",,,,,,,,,,,,,,,,,
LED,results,insight,,2,"Down-sizing the global energy system dramatically improves the feasibility of low-carbon supply-side transformation by renewables and electrification. Our scenario meets 1.5°C climate and other sustainable development goals, without relying on controversial negative emission technologies.",,,,,,,,,,,,,,,,,
LED,scenarios,preamble,,,A single scenario based on a narrative was constructed to quantitatively illustrate a low energy demand transformation that is consistent with limiting global warming to 1.5 °C.,,,,,,,,,,,,,,,,,
LED,scenarios,scenario,name,1,Low Energy Demand (LED),,,,,,,,,,,,,,,,,
LED,scenarios,scenario,description,1,Low energy demand scenario that limits global mean temperature incresae to 1.5°C and achieves significant co-benefits for other sustainable development goals,,,,,,,,,,,,,,,,,
LED,data sources,source,name,1,Low Energy Demand (LED) Database,,,,,,,,,,,,,,,,,
LED,data sources,source,link,1,https://db1.ene.iiasa.ac.at/LEDDB,,,,,,,,,,,,,,,,,
LED,publications,reference,citation,1,Grubler et al. (2018),,,,,,,,,,,,,,,,,
LED,publications,reference,type,1,journal article,,,,,,,,,,,,,,,,,
LED,publications,reference,doi,1,10.1038/s41560-018-0172-6,,,,,,,,,,,,,,,,,
LED,publications,reference,full,1,"Grubler A, Wilson C, Bento N, Boza-Kiss B, Krey V, McCollum DL, Rao ND, Riahi K, Rogelj J, De Stercke S, Cullen J, Frank S, Fricko O, Guo F, Gidden M, Havlík P, Huppmann D, Kiesewetter G, Rafaj P, Schoepp W, Valin H (2018) A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies. Nature Energy 3:515-527.",,,,,,,,,,,,,,,,,
LED,publications,reference,ris,1,"TY  - JOUR
AB  - Scenarios that limit global warming to 1.5 °C describe major transformations in energy supply and ever-rising energy demand. Here, we provide a contrasting perspective by developing a narrative of future change based on observable trends that results in low energy demand. We describe and quantify changes in activity levels and energy intensity in the global North and global South for all major energy services. We project that global final energy demand by 2050 reduces to 245 EJ, around 40% lower than today, despite rises in population, income and activity. Using an integrated assessment modelling framework, we show how changes in the quantity and type of energy services drive structural change in intermediate and upstream supply sectors (energy and land use). Down-sizing the global energy system dramatically improves the feasibility of a low-carbon supply-side transformation. Our scenario meets the 1.5 °C climate target as well as many sustainable development goals, without relying on negative emission technologies.
AU  - Grubler, Arnulf
AU  - Wilson, Charlie
AU  - Bento, Nuno
AU  - Boza-Kiss, Benigna
AU  - Krey, Volker
AU  - McCollum, David L.
AU  - Rao, Narasimha D.
AU  - Riahi, Keywan
AU  - Rogelj, Joeri
AU  - De Stercke, Simon
AU  - Cullen, Jonathan
AU  - Frank, Stefan
AU  - Fricko, Oliver
AU  - Guo, Fei
AU  - Gidden, Matt
AU  - Havlík, Petr
AU  - Huppmann, Daniel
AU  - Kiesewetter, Gregor
AU  - Rafaj, Peter
AU  - Schoepp, Wolfgang
AU  - Valin, Hugo
DA  - 2018/06/01
DO  - 10.1038/s41560-018-0172-6
L1  - https://doi.org/10.1038/s41560-018-0172-6
IS  - 6
PY  - 2018
SN  - 2058-7546
SP  - 515-527
ST  - A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies
T2  - Nature Energy
TI  - A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies
UR  - https://doi.org/10.1038/s41560-018-0172-6
VL  - 3
ID  - 212
ER  - ",,,,,,,,,,,,,,,,,
LED,diagnostics,source,name,1,N/A,,,,,,,,,,,,,,,,,
LED,diagnostics,source,link,1,N/A,,,,,,,,,,,,,,,,,
LED,models,preamble,,,The LED study uses a single integrated assessment model to explore a low energy demand transformation.,,,,,,,,,,,,,,,,,
LED,models,model,name,1,MESSAGEix-GLOBIOM,,,,,,,,,,,,,,,,,
LED,models,model,version,1,1.0,,,,,,,,,,,,,,,,,
LED,year,,,,2018,,,,,,,,,,,,,,,,,
LED,project,,,,Low Energy Demand (LED),,,,,,,,,,,,,,,,,
LED,keywords,keyword,,1,energy efficiency,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,2,1.5 °C,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,3,decent living energy,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,4,co-benefits,,,,,,,,,,,,,,,,,
LED,keywords,keyword,,5,negative emission technologies,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,1,World,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,2,Global North,,,,,,,,,,,,,,,,,
LED,regional coverage,region,,3,Global South,,,,,,,,,,,,,,,,,
LED,time horizon,start,,,2020,,,,,,,,,,,,,,,,,
LED,time horizon,end,,,2100,,,,,,,,,,,,,,,,,